일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/09/24","77300","-100","-0.13","77600","77700","77100","12247274","947458981757","461464191115000","5969782550"
"2021/09/23","77400","200","0.26","77500","77600","76800","17055590","1318209157168","462061169370000","5969782550"
"2021/09/17","77200","1100","1.45","76300","77200","75900","16289502","1250677861383","460867212860000","5969782550"
"2021/09/16","76100","-900","-1.17","77300","77400","76100","13067622","1000180664750","454300452055000","5969782550"
"2021/09/15","77000","400","0.52","77400","77400","76400","12829128","987846688544","459673256350000","5969782550"
"2021/09/14","76600","300","0.39","77100","77700","76600","18167057","1404205788220","457285343330000","5969782550"
"2021/09/13","76300","1000","1.33","75200","76300","75100","11397775","865368373800","455494408565000","5969782550"
"2021/09/10","75300","0","0.00","75300","75600","74800","10103212","760038461600","449524626015000","5969782550"
"2021/09/09","75300","-1000","-1.31","76400","76600","75000","17600770","1329972274100","449524626015000","5969782550"
"2021/09/08","76300","200","0.26","76000","76400","75600","11798147","897864198600","455494408565000","5969782550"
"2021/09/07","76100","-1200","-1.55","77100","77100","75900","13239401","1008596148650","454300452055000","5969782550"
"2021/09/06","77300","700","0.91","76800","77600","76600","12861180","993041466900","461464191115000","5969782550"
"2021/09/03","76600","600","0.79","76400","76700","76000","12096419","925331114200","457285343330000","5969782550"
"2021/09/02","76000","-800","-1.04","76800","76800","75700","15347486","1168535621773","453703473800000","5969782550"
"2021/09/01","76800","100","0.13","76700","77100","75900","16114775","1233406384400","458479299840000","5969782550"
"2021/08/31","76700","2100","2.82","74900","76700","74300","24630370","1864084402507","457882321585000","5969782550"
"2021/08/30","74600","300","0.40","75400","75500","74200","12686999","945673383900","445345778230000","5969782550"
"2021/08/27","74300","-300","-0.40","74300","75000","73800","15172748","1128028045800","443554843465000","5969782550"
"2021/08/26","74600","-1100","-1.45","76100","76200","74600","16671494","1254628461500","445345778230000","5969782550"
"2021/08/25","75700","100","0.13","76200","76600","74900","22319664","1688297846500","451912539035000","5969782550"
"2021/08/24","75600","2300","3.14","73900","75700","73900","21016913","1574547628640","451315560780000","5969782550"
"2021/08/23","73300","600","0.83","73300","74000","73000","19384648","1424674875510","437585060915000","5969782550"
"2021/08/20","72700","-400","-0.55","73500","73900","72500","22364803","1633795697700","434003191385000","5969782550"
"2021/08/19","73100","-800","-1.08","73500","74400","73100","22166298","1630828844000","436391104405000","5969782550"
"2021/08/18","73900","-300","-0.40","73900","74600","73100","29192631","2156728137400","441166930445000","5969782550"
"2021/08/17","74200","-200","-0.27","74000","75100","74000","30944847","2304422906794","442957865210000","5969782550"
"2021/08/13","74400","-2600","-3.38","75800","76000","74100","61270643","4575267536355","444151821720000","5969782550"
"2021/08/12","77000","-1500","-1.91","77100","78200","76900","42365223","3276635421700","459673256350000","5969782550"
"2021/08/11","78500","-1700","-2.12","79600","79800","78500","30241137","2389977254924","468627930175000","5969782550"
"2021/08/10","80200","-1300","-1.60","82300","82400","80100","20362639","1643107615500","478776560510000","5969782550"
"2021/08/09","81500","0","0.00","81500","82300","80900","15522581","1267668377900","486537277825000","5969782550"
"2021/08/06","81500","-600","-0.73","81900","82500","81300","13342623","1090225883400","486537277825000","5969782550"
"2021/08/05","82100","-800","-0.97","83300","83300","82000","18485469","1526103630900","490119147355000","5969782550"
"2021/08/04","82900","1500","1.84","82200","83100","81800","25642368","2117643006850","494894973395000","5969782550"
"2021/08/03","81400","2100","2.65","79400","81400","79300","24339360","1966480433000","485940299570000","5969782550"
"2021/08/02","79300","800","1.02","79200","79500","78700","11739124","929153637896","473403756215000","5969782550"
"2021/07/30","78500","-500","-0.63","78900","78900","78500","13823411","1086488907610","468627930175000","5969782550"
"2021/07/29","79000","-200","-0.25","78800","79400","78800","14360453","1134761032300","471612821450000","5969782550"
